日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/06/15,4662,東証1部,(株)フォーカスシステムズ,"1,050",+16.67%,+150,"1,050"
2021/06/15,4880,マザーズ,セルソース(株),"16,500",+22.22%,"+3,000","16,500"
2021/06/15,7078,マザーズ,ＩＮＣＬＵＳＩＶＥ(株),"1,451",+7.24%,+98,"1,653"
2021/06/15,7095,マザーズ,(株)Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,"7,250",+11.37%,+740,"7,510"
2021/06/16,3772,東証2部,ウェルス・マネジメント(株),"2,292",+21.14%,+400,"2,292"
2021/06/16,4243,東証JQS,(株)ニックス,899,+6.26%,+53,996
2021/06/16,4498,マザーズ,サイバートラスト(株),"7,150",+16.26%,"+1,000","7,150"
2021/06/16,4662,東証1部,(株)フォーカスシステムズ,"1,350",+28.57%,+300,"1,350"
2021/06/16,6232,マザーズ,(株)自律制御システム研究所,"2,798",+11.83%,+296,"3,005"
2021/06/16,6768,東証1部,(株)タムラ製作所,701,+16.64%,+100,701
2021/06/16,6846,名証2部,(株)中央製作所,"1,376",+27.88%,+300,"1,376"
2021/06/17,2370,マザーズ,(株)メディネット,115,+35.29%,+30,115
2021/06/17,6768,東証1部,(株)タムラ製作所,851,+21.40%,+150,851
2021/06/17,7087,東証2部,(株)ウイルテック,"1,310",+25.12%,+263,"1,347"
2021/06/17,9625,東証JQS,(株)セレスポ,960,+9.34%,+82,"1,028"
2021/06/18,3802,東証JQS,(株)エコミック,558,+5.88%,+31,627
2021/06/18,9812,東証JQS,(株)テーオーホールディングス,393,+0.51%,+2,471
2021/06/21,4918,東証JQS,(株)アイビー化粧品,690,-0.29%,-2,792
2021/06/21,7218,東証JQS,田中精密工業(株),632,+0.32%,+2,730
2021/06/21,7899,東証JQS,ＭＩＣＳ化学(株),366,+5.17%,+18,428
2021/06/21,9941,東証JQS,太洋物産(株),484,+8.76%,+39,525
